"author","max(views)"
Eddy Cartaya,728000
Lili Haydn,726000
Emma Bryce,725000
Alex Gendler,724000
Frank Gehry,723000
Robert Chang,722000
Marc Koska,721000
Olafur Eliasson,720000
Carson Bruns,719000
Sebastian Wernicke,718000
Ivan Oransky,717000
Bill Doyle,716000
Daniel Engber,715000
Fabio Pacucci,714000
Alex Gendler,712000
Jen Gunter,711000
Rodney Brooks,710000
Gabriel Prieto,709000
George Whitesides,708000
Gayle Tzemach Lemmon,707000
Bradley Voytek and Tim Verstynen,706000
Richard Sears,704000
Reuben Margolin,703000
Sascha Morrell,702000
Jorge Ramos,701000
Deval Patrick,700000
Danny Hillis,699000
Noah Charney,698000
Thasunda Duckett,697000
Van Jones,696000
Rob Harmon,695000
Liz Coleman,691000
Greg Gage,690000
Sasa Vucinic,686000
Chip Kidd,683000
Paula Scher,682000
Robert Reffkin,681000
Jesse Byock,679000
Rha Goddess and Deepa Purushothaman,678000
Mark Robinson,677000
Jonathan Drori,676000
Golan Levin,675000
Richard Coffin,674000
Rebekah Bergman,673000
Gordon Brown,671000
Elizabeth Cox,670000
Gala Marija Vrbanic,669000
Edi Rama,668000
Zoë Karl-Waithaka,667000
Claire Wardle,666000
Soraya Field Fiorio,665000
Kim Preshoff,664000
Javed Akhtar,663000
Christoph Adami,662000
Cella Wright,661000
Craig Venter,659000
 TED-Ed,658000
Gastón Acurio,657000
Martin Hilpert,655000
Bill Schutt,653000
Rogier van der Heide,652000
Rahaf Harfoush,651000
Alexandros Charalambides,650000
 Kaz,649000
Michael Corballis,648000
Tony Luciani,646000
Matt Walker,645000
Miguel Alcubierre,644000
Nathan S. Jacobs,643000
Bart Weetjens,642000
Lee Hotz,641000
Lucy Cooke,640000
Marvin Minsky,639000
Charles Anderson,637000
Steve Truglia,636000
Adam Clulow,635000
Sajan Saini,634000
Magatte Wade,633000
Dan Jørgensen,632000
Richard Bona,631000
Luka Seamus Wright,630000
Mounia Akl,628000
Eldridge Adams,627000
Alex Rosenthal,626000
Heather Malyuk,624000
Sendhil Mullainathan,623000
Daniel H. Pink,622000
Karen Tse,621000
Omar Ahmad,619000
Péter Fankhauser,618000
Marjee Chmiel and Trevor Owens,617000
Débora Mesa Molina,616000
Jay Bradner,614000
Rachel Kyte,613000
Nadia Al-Sakkaf,612000
Matt Trombley,610000
Nick Turner and Whitney Pennington Rodgers,609000
Marco Tempest,608000
Sam Van Aken,607000
Jamie Drummond,606000
Samantha Power,605000
Tyrone Hayes + Penelope Jagessar Chaffer,604000
Cynthia Schneider,603000
Marie Brodsky,601000
Simon Berrow,600000
Isaac Mizrahi,599000
Laura Wright,597000
Alex Gendler,596000
Ben Cameron,594000
Sivamani,593000
Peter Diamandis,590000
Eugenia Cheng,589000
Jim Tamm,588000
Boghuma Kabisen Titanji,586000
Jake Wood,585000
Dwan Reece,584000
Zoe Pierrat,583000
Alex Gendler,582000
Gonzalo Vilariño,581000
Benjamin Seibold,580000
Gautam Bhan,579000
James Tanton,578000
 Kesha,577000
Li Wei Tan,576000
Shereen El Feki,575000
Peter Diamandis,574000
Lynne Elvins,573000
Rod Phillips,572000
Joseph Isaac,571000
Lewis Carroll,569000
Gareth Gaskell,568000
Eddi Reader,566000
Sebastián Bortnik,564000
 Rei,563000
Anirudh Sharma,562000
Nalini Nadkarni,561000
Barry Schwartz,559000
Zahra' Langhi,557000
Christoph Keplinger,556000
George Whitesides,555000
Jill Sobule + Julia Sweeney,554000
Michael Levin,550000
Emily Nagoski,549000
Isadora Kosofsky,548000
Jacob Collier,547000
Rod Phillips,546000
Jay Van Bavel,544000
Luka Seamus Wright,543000
Kiran Mazumdar-Shaw,541000
Nick Sears,539000
Wendy De La Rosa,538000
Martina Flor,535000
Lieven Scheire,534000
Panti Bliss,533000
Augusto Carballido,532000
Jessica Ochoa Hendrix,530000
Bruce Feiler,529000
Ned Blackhawk and Jeffrey D. Means,527000
Lucas Joppa,526000
Brandon Rodriguez,525000
K. Erica Dodge,524000
Steven Schwaitzberg,523000
Susan Ruffo,522000
Alex Rosenthal,521000
Esha Alwani,520000
Soraya Field Fiorio,518000
Dennis Wildfogel,517000
Chrystina Russell,515000
Bhakti Sharma,513000
Anne Gaskett,512000
Patrick Chappatte,511000
Kayla Wolf,510000
Joe DeRisi,509000
Huang Yi & KUKA,508000
Andy Hobsbawm,507000
Paco de Leon,505000
Wendy De La Rosa,502000
Anne Marie Albano,501000
Alex Rosenthal,500000
Carol Farbotko and Ingrid Boas,498000
Kristen Ashburn,496000
Takis S. Pappas,495000
